,Tested Groups,Expected Accuracy,Actual Accuracy,Actual Balanced Accuracy
0,['Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi'],0.876461,0.6623812185578536,0.689246848061154
1,['Simon_Kalteis_V19-18;#279;Ebene B - 2021-01-29 18.26.03.ndpi'],0.806526,0.7963875205254516,0.7273949599567863
2,['Simon_Kalteis_V19-18;#282;Ebene C - 2021-01-29 17.42.58.ndpi'],0.813284,0.7496054708048395,0.7732055662114217
3,['Simon_Kalteis_V19-18;#283;Ebene B - 2021-01-29 18.00.48.ndpi'],0.873204,0.7894983591186123,0.7008246165596899
4,['Simon_Kalteis_V19-18;#284;Ebene C - 2021-01-29 11.53.08.ndpi'],0.833931,0.7680851063829788,0.8020507729422223
5,['Simon_Kalteis_V19-18;#285;Ebene C - 2021-01-29 13.38.56.ndpi'],0.832996,0.7661338069863824,0.8276854874026632
6,['Simon_Kalteis_V19-18;#286;Ebene D - 2021-01-29 13.22.53.ndpi'],0.8178380000000001,0.7186001917545541,0.7693257064571243
7,['Simon_Kalteis_V19-18;#287;Ebene B - 2021-01-29 13.26.04.ndpi'],0.7861899999999999,0.7181933842239185,0.6769283119628807
8,['Simon_Kalteis_V19-18;#288;Ebene E - 2021-01-29 12.34.56.ndpi'],0.858934,0.8212194281777472,0.8024143641524506
9,['Simon_Kalteis_V19-18;#289;Ebene B - 2021-01-29 12.31.51.ndpi'],0.901366,0.8519337016574585,0.8412746485692447
10,['Simon_Kalteis_V19-18;#294;Ebene C - 2021-01-29 18.39.08.ndpi'],0.833719,0.7554304102976669,0.845779312810986
11,['Simon_Kalteis_V19-18;#295;Ebene B - 2021-01-29 18.50.22.ndpi'],0.873058,0.8133995037220844,0.836264033131882
12,['Simon_Kalteis_V19-18;#296;Ebene B - 2021-01-29 19.02.44.ndpi'],0.8068500000000001,0.9301659988551803,0.921156038355797
13,['Simon_Kalteis_V19-18;#297;Ebene D - 2021-01-29 19.21.37.ndpi'],0.846076,0.8463035019455253,0.8825942284289446
14,['Simon_Kalteis_V19-18;#298;Ebene B - 2021-01-29 19.12.07.ndpi'],0.795906,0.9262371615312792,0.9262371615312792
15,['Simon_Kalteis_V19-18;#299;Ebene B - 2021-01-29 15.01.56.ndpi'],0.795473,0.8571428571428571,0.8571428571428571
16,['Simon_Kalteis_V19-18;#332;Ebene B - 2021-01-29 14.20.37.ndpi'],0.776831,0.8204697986577181,0.8376605248464545
17,['Simon_Kalteis_V19-18;#333;Ebene B - 2021-02-12 11.19.14.ndpi'],0.826863,0.8803956834532374,0.880688399224103
18,['Simon_Kalteis_V19-18;#336;Ebene B - 2021-01-29 14.42.56.ndpi'],0.884572,0.7830264211369096,0.7776299759467705
19,['Simon_Kalteis_V19-18;#337;Ebene B - 2021-01-29 13.52.30.ndpi'],0.836964,0.8238805970149253,0.7262035968813695
20,['Simon_Kalteis_V19-18;#338;Ebene C - 2021-01-29 20.37.52.ndpi'],0.857261,0.9343603482920295,0.7380714357480157
21,['Simon_Kalteis_V19-18;#339;Ebene C - 2021-01-29 19.46.05.ndpi'],0.8037650000000001,0.946159936658749,0.910703293321022
22,['Simon_Kalteis_V19-18;#340;Ebene B - 2021-01-29 19.57.27.ndpi'],0.801535,0.9300947867298578,0.9300947867298578
23,['Simon_Kalteis_V19-18;#341;Ebene B - 2021-01-29 20.21.43.ndpi'],0.856774,0.9617321248741189,0.9617321248741189
